SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
NORTHMEAD,29 mins,1 hour 35 mins
NORTHWOOD,16 mins,38 mins
OAKHURST,37 mins,1 hour 34 mins
OAKVILLE,46 mins,1 hour 42 mins
OATLANDS,32 mins,1 hour 17 mins
OATLEY,35 mins,1 hour 11 mins
OLD GUILDFORD,41 mins,1 hour 13 mins
OLD TOONGABBIE,33 mins,1 hour 25 mins
ORAN PARK,54 mins,1 hour 52 mins
ORCHARD HILLS,48 mins,1 hour 41 mins
OTFORD,1 hour 5 mins,2 hours 2 mins
OXFORD FALLS,28 mins,1 hour 49 mins
OXLEY PARK,48 mins,1 hour 42 mins
OYSTER BAY,39 mins,1 hour 26 mins
PADDINGTON,12 mins,15 mins
PADSTOW,30 mins,50 mins
PADSTOW HEIGHTS,33 mins,1 hour 28 mins
PAGEWOOD,14 mins,47 mins
PALM BEACH,1 hour 0 mins,1 hour 28 mins
PANANIA,33 mins,50 mins
PARKLEA,34 mins,1 hour 49 mins
PARRAMATTA,36 mins,1 hour 5 mins
PEAKHURST,31 mins,1 hour 0 mins
PEAKHURST HEIGHTS,35 mins,49 mins
PEMULWUY,39 mins,1 hour 45 mins
PENDLE HILL,38 mins,54 mins
PENNANT HILLS,26 mins,49 mins
PENRITH,55 mins,1 hour 39 mins
PENSHURST,31 mins,1 hour 3 mins
PETERSHAM,16 mins,27 mins
PHILLIP BAY,23 mins,50 mins
PICNIC POINT,37 mins,1 hour 29 mins
PITT TOWN,54 mins,1 hour 55 mins
PLEASURE POINT,40 mins,1 hour 41 mins
PLUMPTON,39 mins,1 hour 35 mins
POINT PIPER,16 mins,28 mins
PORT BOTANY,21 mins,46 mins
PORT HACKING,41 mins,1 hour 17 mins
POTTS HILL,34 mins,1 hour 26 mins
POTTS POINT,10 mins,11 mins
PRAIRIEWOOD,49 mins,1 hour 25 mins
PRESTONS,40 mins,2 hours 5 mins
PROSPECT,38 mins,1 hour 33 mins
PUNCHBOWL,31 mins,49 mins
PUTNEY,20 mins,49 mins
PYMBLE,23 mins,37 mins
PYRMONT,6 mins,11 mins
QUAKERS HILL,35 mins,1 hour 30 mins
QUEENS PARK,16 mins,28 mins
QUEENSCLIFF,28 mins,53 mins
RABY,43 mins,1 hour 31 mins
RAMSGATE,26 mins,1 hour 4 mins
RAMSGATE BEACH,23 mins,1 hour 16 mins
RANDWICK,15 mins,26 mins
REDFERN,12 mins,14 mins
REGENTS PARK,35 mins,54 mins
REGENTVILLE,51 mins,1 hour 35 mins
REVESBY,31 mins,54 mins
REVESBY HEIGHTS,33 mins,1 hour 8 mins
RHODES,26 mins,42 mins
RICHMOND,54 mins,2 hours 10 mins
RIVERSTONE,45 mins,1 hour 33 mins
RIVERVIEW,18 mins,43 mins
RIVERWOOD,32 mins,42 mins
ROCKDALE,22 mins,47 mins
RODD POINT,13 mins,44 mins
ROOKWOOD,30 mins,57 mins
ROOTY HILL,41 mins,1 hour 11 mins
ROPES CROSSING,46 mins,1 hour 47 mins
ROSE BAY,16 mins,24 mins
ROSEBERY,14 mins,35 mins
ROSEHILL,30 mins,56 mins
ROSELANDS,26 mins,1 hour 12 mins
ROSEMEADOW,55 mins,1 hour 53 mins
ROSEVILLE,19 mins,27 mins
ROSEVILLE CHASE,18 mins,40 mins
